Date,cap,stochaistic_k_percent,stochaistic_D,Momentum,rate_of_change,William_R_percent,AD_oscillator,Disparity
23-02-2009,-250.65039,1.022065556,16.00610998,-824.75,-862.6589615,0.989779344,0.224871912,94.25725272
24-02-2009,234.240234,28.32697739,17.187538,-581.819825,-1263.439234,0.716730226,0.998186499,98.47022218
25-02-2009,-80.520019,22.29991063,14.88105968,-579.520019,-1254.640029,0.777000894,0.217514103,98.49016554
26-02-2009,-88.089844,14.87635556,13.40819893,-370.52002,-1938.378412,0.851236444,0.57451332,97.98974661
27-02-2009,-124.490235,5.041722553,14.09871042,-492.699707,-1433.516212,0.949582774,0.082673603,97.29848166
02-03-2009,-291.669921,1.137079996,12.96687156,-702.660156,-962.5264762,0.9886292,-0.013101512,94.47711481
03-03-2009,-38.310059,2.772696556,13.04314419,-639.649902,-1051.515837,0.972273034,0.614726073,95.17132581
04-03-2009,147.509766,24.33969869,14.25950099,-238.939941,-2877.643568,0.756603013,1.001581889,97.76342309
05-03-2009,-278.84961,5.847759419,14.94888583,-756.5,-871.7038917,0.941522406,-0.005547209,95.22560651
06-03-2009,30.580078,16.8378919,13.3075879,-643.950196,-1029.107528,0.831621081,0.56353038,96.98324484
09-03-2009,-78.730468,10.62695688,11.64002308,-635.030273,-1030.982314,0.893730431,0.428897131,97.10325798
10-03-2009,376.120117,77.51104228,20.58783547,-136.439942,-5076.585443,0.224889577,0.998841893,103.0288136
11-03-2009,9.260254,84.46915703,31.93461182,167.109863,4147.211767,0.15530843,0.600431649,102.7222028
12-03-2009,234.959961,97.950374,45.76508239,444.040039,1614.732778,0.02049626,0.813896469,105.2845316
13-03-2009,57.97998,97.58756793,59.31006402,348.140136,2075.020727,0.024124321,0.530563931,105.3072344
16-03-2009,-7.330078,80.93742433,67.39545339,622.530274,1159.296265,0.190625757,0.907933588,103.8586111
17-03-2009,177.700195,99.87387195,80.82775518,768.760254,962.0294697,0.00126128,0.800140776,104.7747823
18-03-2009,93.979981,91.70170275,91.52258531,939.530273,796.8428792,0.082982972,0.559658608,104.0831629
19-03-2009,-87.370117,75.73602076,100.8238801,474.309571,1560.331112,0.242639792,0.345311471,101.9303851
20-03-2009,-123.060059,58.06914646,98.04646646,347.979981,2091.608794,0.419308535,0.296062737,99.56263391
23-03-2009,494.220215,99.27979885,100.1622724,605.799804,1283.569227,0.007202011,1.000796712,105.1232863
24-03-2009,-113.660156,78.12726496,97.33039971,435.990235,1756.913252,0.21872735,0.138454458,102.6918532
25-03-2009,92.549804,83.54206149,95.32389879,532.839844,1454.435164,0.164579385,0.649487458,102.8467353
26-03-2009,170.209961,98.99563564,97.90364327,528.859864,1498.42342,0.010043644,1.013793476,104.1218599
27-03-2009,-149.259765,76.96363742,94.63075262,289.600098,2685.14418,0.230363626,-0.010664661,101.6198863
30-03-2009,-249.540039,39.22642049,87.13428372,121.220215,6205.252169,0.607735795,-0.008308626,98.07654672
31-03-2009,82.359863,50.59229006,83.5423222,330.540039,2301.966184,0.494077099,1.007083242,98.60252072
01-04-2009,157.860351,65.62362791,84.62153383,-14.259765,-54430.07019,0.343763721,0.590175162,100.6076325
02-04-2009,216.639649,84.69773385,82.53838169,318.109863,2507.963759,0.153022661,1.007667088,102.8080951
03-04-2009,35.530273,90.88912721,84.36150487,267.779785,2994.098245,0.091108728,0.338786204,102.8104199
06-04-2009,-47.240234,84.34828396,84.47667951,51.290039,15550.48554,0.15651716,-0.009286103,102.1791823
07-04-2009,-180.239746,55.15563042,78.21382162,13.379883,58218.44675,0.448443696,-0.032705411,99.76817692
08-04-2009,51.209961,59.68300405,75.74515971,315.089843,2487.261978,0.40316996,0.716763129,99.80181285
09-04-2009,242.129883,99.35368918,84.33476952,474.459961,1703.701165,0.006463108,1.011238441,102.0570419
13-04-2009,-24.609864,84.66458294,89.20223993,296.209961,2720.303541,0.153354171,0.200656433,101.1935736
14-04-2009,-142.490234,46.70400786,86.49943707,-57.899902,-13679.09081,0.532959921,-0.002577518,99.56858411
15-04-2009,114.220215,76.88933539,85.38395157,12.030273,66745.11972,0.231106646,0.709083111,100.922604
16-04-2009,96.290039,89.76922878,85.22396608,149.580078,5432.160676,0.102307712,0.674260722,101.8532658
17-04-2009,3.509765,86.51006794,85.53279237,341.770019,2379.181797,0.134899321,0.628539299,101.307203
20-04-2009,-287.209961,0.524515466,77.72834737,4.620117,169730.1168,0.994754845,-0.008284998,97.69107919
21-04-2009,123.049805,44.54613162,75.56593703,-113.819824,-7001.908612,0.554538684,0.734153351,99.48508813
22-04-2009,-77.969726,23.73144347,64.76275907,-171.240235,-4605.558865,0.762685565,0.425686496,98.75066831
23-04-2009,70.640136,41.41102058,58.58367873,36.879883,21575.61091,0.585889794,0.529989885,99.56761842
24-04-2009,116.369629,71.31495869,62.09952885,46.669922,17305.12864,0.286850413,1.002294246,100.9753168
27-04-2009,-50.259765,58.4509613,59.46547541,-100.430176,-7990.626244,0.415490387,0.341728605,100.5143543
28-04-2009,-5.25,66.76761019,56.17952989,-114.379883,-7009.056125,0.332323898,0.436599942,100.6194578
29-04-2009,170.199707,84.57104206,55.9025262,344,2379.572669,0.154289579,1.004005509,102.1079999
30-04-2009,-21.09961,72.30484741,66.15685933,198.560058,4113.677342,0.276951526,0.713791003,101.5290945
01-05-2009,46.189453,81.10477909,71.37952326,325.840332,2520.378649,0.188952209,0.428959857,101.4923857
04-05-2009,211.950196,98.36248449,82.04110054,469.680175,1794.144331,0.016375155,1.005375798,103.284714
05-05-2009,-22.069336,90.85608632,89.10468137,334.360352,2515.444891,0.091439137,0.329137134,102.4874867
06-05-2009,108.799804,98.91474397,93.04750783,487.280273,1746.896139,0.01085256,0.933803147,102.853441
07-05-2009,-101.549804,70.07925565,94.70869274,392.899414,2140.45868,0.299207444,0.296135908,100.9312631
08-05-2009,158.5,97.35797544,99.07874492,388.920411,2204.731392,0.026420246,1.004981695,102.2274687
11-05-2009,-150.060547,65.4308615,96.34443341,250.649414,3358.78285,0.345691385,-0.034108928,99.94240029
12-05-2009,42.629883,68.32747936,95.77623798,256.700196,3299.222394,0.316725206,0.650093601,100.1042208
13-05-2009,-175.879883,6.908203715,85.17672721,-141.850586,-5840.574848,0.930917963,-0.035420573,98.161867
14-05-2009,40.299805,21.18928371,74.15198424,-79.330079,-10502.09507,0.788107163,0.89303741,98.84471546
15-05-2009,-56.069336,10.76437926,62.7103118,-243.640625,-3393.785272,0.892356207,0.386186261,98.50783986
18-05-2009,232.330078,76.64397719,59.52877369,94.230469,9024.766796,0.233560228,1.006249726,101.1505247
19-05-2009,-30.660157,72.16400999,59.82659574,-99.800782,-8491.766737,0.2783599,0.455617193,100.9740799
20-05-2009,-55.75,53.03799235,53.49516958,3.270508,257514.7359,0.469620077,0.627910026,100.3392917
21-05-2009,-123.860351,19.17398144,46.88704386,-176.980469,-4685.336145,0.808260186,-0.030181558,99.09003295
22-05-2009,-14.889649,15.18132154,39.2947356,-7.569336,-109353.3212,0.848186785,0.673178924,98.92584324
26-05-2009,196.330079,68.0687267,48.03195317,142.169922,5960.114569,0.319312733,0.812432567,101.0251332
27-05-2009,-173.150391,21.30103031,48.04791697,31.379883,26450.12899,0.786989697,0.11146296,98.90406894
28-05-2009,103.540039,49.28018911,53.55017552,-100.280273,-8380.312053,0.507198109,0.715808116,100.3119677
29-05-2009,97.490234,75.30474785,53.35885704,25.480469,33360.17904,0.246952521,0.771546187,101.4201347
01-06-2009,220.069336,92.72550283,56.29621316,299.400391,2912.968951,0.072744972,1.003700553,103.5299383
02-06-2009,18.470703,91.7427114,61.82545874,448.740234,1947.868601,0.082572886,0.703236734,102.9769464
03-06-2009,-64.790039,80.02789025,70.51887428,397.919922,2180.147249,0.199721098,-0.003383352,101.5238457
04-06-2009,76.469727,93.1755319,81.66090434,276.75,3161.785089,0.068244681,0.651439572,101.9299447
05-06-2009,7.599609,87.13429578,84.38455706,463.110352,1892.233643,0.128657042,0.641485044,101.29941
08-06-2009,5.480469,84.09148399,93.35462187,360.690429,2429.920378,0.15908516,0.31870105,100.7152346
09-06-2009,-1.169922,77.42132989,97.37478484,262.729492,3335.392423,0.225786701,0.496156977,100.2663458
10-06-2009,-27.429687,58.35173495,94.95292585,17.579101,49712.55089,0.416482651,0.368603472,99.9625579
11-06-2009,33.779297,61.72067943,90.52366537,30.049805,29187.94289,0.382793206,0.980317026,100.2782144
12-06-2009,28.490234,67.87138672,87.11347613,124.019532,7095.059644,0.321286133,0.389757065,100.398857
15-06-2009,-186.05957,11.40871653,77.31073703,-138.110351,-6235.687492,0.885912835,-0.003444095,98.48542855
16-06-2009,-108.080078,1.397448613,64.19958227,-258.459961,-3290.517374,0.986025514,0.218481992,97.66894725
17-06-2009,-7.629883,8.614074317,52.98240778,-267.310546,-3178.767099,0.913859257,0.5735352,98.01276121
18-06-2009,60.229492,22.63576456,44.20301929,-207.459961,-4123.976293,0.773642354,0.808841568,99.0251439
19-06-2009,-18.44043,18.82692398,35.83238987,-199.289062,-4285.097427,0.81173076,0.508848265,99.1682478
22-06-2009,-198.079101,0.946952433,27.63170665,-431.910156,-1930.727872,0.990530476,-0.004407626,97.53622325
23-06-2009,-16.930664,7.127655514,19.83270324,-476.34961,-1747.227243,0.928723445,0.377447465,98.12896177
24-06-2009,-24.259766,10.41780652,11.62504892,-312.269531,-2657.915527,0.895821935,0.626000291,98.37461158
25-06-2009,169.290039,59.62890861,18.51364779,-32.269531,-26255.10854,0.403710914,0.824998415,100.4745519
26-06-2009,-28.410156,50.10636181,25.47206396,-58.79004,-14353.4341,0.498936382,-0.053862991,100.1709865
29-06-2009,88.799805,75.58239363,35.03896672,-26.219726,-32530.39289,0.244176064,0.910699556,101.29616
30-06-2009,-81.399415,62.31349445,40.70721385,-92.730469,-9109.195814,0.376865056,0.186560773,100.475879
01-07-2009,55.469727,76.1991815,48.90325064,165.049804,5152.420278,0.238008185,1.003988831,100.8716864
02-07-2009,-222.259766,6.637971409,49.71625335,-42.169922,-19636.60316,0.933620286,-0.00372646,98.29300119
06-07-2009,44.209961,31.74536529,53.23306903,25.009765,33286.47877,0.682546347,0.387192075,98.77493604
07-07-2009,-161.350097,2.163913346,52.05394143,-308.800293,-2643.650373,0.978360867,0.008372335,97.37111876
08-07-2009,15.409668,18.49259134,46.17732468,-259.979492,-3145.790498,0.815074087,0.422576938,97.98181051
09-07-2009,3.480468,19.45751351,41.79891778,-346.209961,-2363.643697,0.805424865,0.602925247,98.62321768
10-07-2009,-35.970214,12.02767287,32.71967196,-300.47998,-2711.168984,0.879723271,0.007512433,98.69208713
13-07-2009,184.850097,58.76584865,32.21286542,-172.379882,-4833.324859,0.412341514,0.920003395,101.2372506
14-07-2009,32.580078,99.36497167,35.52226401,78.75,10615.22569,0.006350283,0.388671242,101.4365122
15-07-2009,248.709961,97.77826108,48.54230539,291.339844,2957.443048,0.022217389,1.016875875,104.026262
16-07-2009,99.229492,95.74935637,57.68573269,548.220214,1589.109648,0.042506436,0.794974604,104.1953787
17-07-2009,34.160157,98.43420235,71.43863112,565.530274,1546.148956,0.015657977,0.53166987,103.5786955
20-07-2009,102.100586,99.12678877,82.95780218,664.980469,1330.58801,0.008732112,1.017997902,103.6467897
21-07-2009,64.239257,98.59554247,94.26323489,769.42041,1158.786577,0.014044575,0.681678336,103.1132294
22-07-2009,-30.080078,89.68701787,105.357427,549.580078,1616.008316,0.103129821,0.378403742,101.7879238
23-07-2009,183.800782,96.25671008,110.7132644,709.799805,1277.725068,0.037432899,0.935646251,102.7488462
24-07-2009,26.979492,98.52082239,110.5926716,477.030273,1906.218693,0.014791776,0.337894583,102.2309007
27-07-2009,13.830078,96.68353032,110.4362815,396.689454,2296.13106,0.033164697,0.339332416,101.7542794
28-07-2009,-14.580078,92.56208372,109.9809569,352.779297,2578.586613,0.074379163,0.139648587,101.0536343
29-07-2009,-19.5,82.72212696,107.7363747,222.569336,4075.457963,0.17277873,-0.02343325,100.4101457
30-07-2009,81.770508,76.18039532,104.4583184,238.519531,3838.033692,0.238196047,1.010876954,100.9563264
31-07-2009,19.040039,80.31014445,101.8461187,290.350586,3158.805525,0.196898555,0.753751412,100.6848988
03-08-2009,111.399414,95.92148283,102.7367566,217.269531,4274.211633,0.040785172,1.016349179,101.6006073
04-08-2009,30.310547,99.71011085,103.2300995,226.950196,4106.711778,0.002898892,0.490908838,101.6081347
05-08-2009,-38.169922,87.20470073,101.6135107,172.459961,5381.521411,0.127952993,-0.018904902,100.9095176
06-08-2009,-18.740235,77.85584611,98.92384157,159.540039,5801.841233,0.221441539,0.379506641,100.3920759
07-08-2009,109.959961,81.47364518,97.33977892,299.350585,3130.132621,0.185263548,1.012219301,101.1572651
10-08-2009,-34.080078,67.21230437,95.12408998,183.490234,5089.07204,0.327876956,0.023151756,100.5260259
11-08-2009,-98.270508,25.67595032,87.90916926,69.839843,13232.34675,0.743240497,-0.030822571,99.38043101
